0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Recent updates ruined basic function app scrolling.,It is irritating inconvenient smooth anymore scroll feed.,It tries lock post flick next one even line properly sometimes stuck halfway different posts.,Just change back stop fixing broken..,,,,,,,,,,,
I really like app use lot.,But I always huge problem chats.,It happening beginning last two years common I literally cannot see sent message message reaction friend.,I tried ask support was restart app uninstall install again log log whay Google said might help absolutely work.,So anyone problems may I ask I do,,,,,,,,,,
It is nice app could please add feature scroll right beginning chat..or scroll makes impossible reach beginning chat sometimes.,That would cool feature would beneficial friends look back old memory simply find something useful beginning chat.,Thank,,,,,,,,,,,,
I am updating review development app think better I am issue IG messages.,I get notifications messages real time pop hours even days people dm me.,It is quite probablematic even though I stable internet connection keeps happening.,I hope solve soon.,Thank reading.,,,,,,,,,,
A great app far I have lucky regards bugs errors.,The complaint I currently I genuinely HATE posts dated weeks actual date itself.,I tried looking specific older photo found trying figure many weeks certain time duration therefore completely wasting time.,Please return dates,,,,,,,,,,,
Dear Instagram Support Team I writing report issue Leave Note feature device.,Despite updating app latest version I still unable use feature.,Whenever I try leave note option visible I already tried reinstalling app issue persists.,I would appreciate could look matter provide solution soon possible.,Sincerely aayabadaa.anay,,,,,,,,,,
Hi there suggesting new feature show saved posts without collections.,Difficult track saved posts collections frustrating find quickly.,As Instagram used inspiration ideas saved lot posts time.,We often struggled find saved posts collection.,Adding without collection feature would save time frustration make user experience smoother.,I Am sure many users would appreciate feature too.,Please consider.,Thank time,,,,,,,
It is good far.,No issues years now.,All sudden Add story button gone.,Cannot repostreshare anything story.,I have gone updated restarted phone signed app.,Nothing I works.,Why I longer share story button.,,,,,,,,
The app good I problem things.,Number I try make post pictures put sound tells logs out.,Number Olympic template thing keeps coming reels annoying.,Please fix those.,,,,,,,,,,,
I love using Instagram great app stay connected friends.,However since last update made weeks ago I strongly disliked Theme feature removed settings app.,I personally used Dark Theme feature lot phone prevent brightness hurting eyes friends send light sticker gif image cannot see due background lightness.,This feature useful everyone needs return soon.,,,,,,,,,,,
I cannot upload photo old filters app used I used before that is thing.,Also I posted picture song play anymore.,Please help could add option add music old posts.,That would great,,,,,,,,,,,
I really enjoy using Instagram app great way stay connected friends family well discover new content creators.,The interface userfriendly intuitive making easy navigate explore.,However I think there is room improvement terms algorithmic fairness user privacy.,Overall I would highly recommend app anyone looking fun engaging social media experience.,,,,,,,,,,,
It is decent experience artist platform.,Their current direction reels counter intuitive negotiable.,Be aware bots scammers try mess flood comments.,This place probably better photographer cosplayer illustrator works gallery page.,,,,,,,,,,,
Issue opening links sent via sms WhatsApp messaging services.,When open shared link video content goes correct content.,However clicking link rewatch show someone else device redirects videos content instead.,,,,,,,,,,,,
For reason matter many reels share person move share list even people texted years higher list person.,Also became harder search said person.,Please help fix this became really troublesome.,,,,,,,,,,,,
Its good app.,Used since got problem looking old posts.,Instead coming date comes many weeks ago was.,For example I saw post said weeks ago fairly useless.,,,,,,,,,,,
Amazing app It is really easy use I love watching everyone is creativity I post gacha content followers It is good way boost creativity happiness Although sometimes videos I post go full screen keeps trimming videos I restart make sure trim it.,So nothing bad anyone dodge things,,,,,,,,,,,,,
Please put Cancel upload uploading stories.,Because sometimes Net Iran weak story cannot uploaded Instagram got stuck uploading hours options like sending direct messages reviewing activities checking notifications opening pages posts stories work all.,,,,,,,,,,,,,
Nice sharing photos appreciating peoples wonderful photos Good keeping things like entertainment.,Has niggles they are minor.,app kept crashing reverted back older version years ago Be nice video upload quality could improved Android iOS.,Videos badly degraded despite high quality settings applied.,I like adverts peoples profiles that is well order,,,,,,,,,,
Instagram great app conversation places needs work done All Media chats media shown receiving messages delay phone works perfectly fine laptop alot minor chat bugs.,Hope see fixed future.,,,,,,,,,,,,,
The app glitchy.,There many glitches drives crazy frustrating annoying really ruins whole user experience app.,On top that instead fixing glitches bugs developers keep introducing unnecessary updates shuffle buttons layouts also annoying also disorienting.,,,,,,,,,,,,
Super good.,My fvrt app to be honest love reaching safety options Here suggestions you add .,Searching story veiws .,Archiving whole highlights with stories still them .,Stop allowing screen recording vanish mode .,Organised likes stories without scattering likes people liked. . Guide use Instagram new users different features shown that is skipable referred anytime.,,,,,,,,,
Wonderful experience amazing app.,Couple things ..Could integrate Whatsapp Insta animated avtar...,So need need times create avatar.,Creating story uploading video takes time also cannot find progress bar video uploaded mbs data progress uploads.,So please add feature Android mobile app.,,,,,,,,,,
I hope one day I wake see real useful update app When upload video way stop it No x icon When video post playing cannot forward backward pause When put rarely opportunity go explore seen users,,,,,,,,,,,,,,
It is good app socialize good platform show talent etc but I wished could have extended story video time minimum seconds maximum minute.,It is difficult inconvenient since getting trimmed seconds.,So I kindly request consider opinion.,,,,,,,,,,,,
Hi Instagram While selection audio audio library particular start point .,The application takes hr process sometimes works good exclude audio start point .,Also GUI audio shows Bars audio would helpful showed something like waveform .,,,,,,,,,,,,
This app really great connects whole world platform form .,As love app sharing memorable moments people love.,Just one think hate app want upload long reel longer secs video content gets shorter.,So hope team insta would soon find solution this.,Thank,,,,,,,,,,
Cool App Unlike predecessor Facebook.,It focuses streamlined ease use rather bulk features markup deal with.,Kudos developers sacrificing clean well designed UIUX overcrowded overbearing one.,,,,,,,,,,,,
Instagram visually captivating userfriendly app fosters creativity connection inspiration.,As musician myself I find brilliant growing fan base experience simply awesome.,,,,,,,,,,,,,
I several videos removed I permission Post I am still waiting restored.,I always followed appeal process.,It would better IG alerted copyright conflict give chance appeal rather removing video first say days so.,They give party days review it.,So cannot they They losing penny page monetized.,No Ads Thanks,,,,,,,,,
A fairly adequate app.,somewhat reliable first posts deleted lost followers excessive requests personal information.,I greatly appreciate privacy.,And now unable return large numbers followersfriends I built up wrongly deleted.,Expired time return Hopefully fix issues app make user friendly accessible.,,,,,,,,,,
Instagram grate app conversation places needs work done All Media chats media shownreceiving message delay phone works perfectly fine laptop alot minor chat bugs.Hope see fixed future.,,,,,,,,,,,,,,
It is really sad the music audio disappears Instagram posted.Some moment best shown music .there many audio gone Instagram play.,I hope measure taken soon happening again.,,,,,,,,,,,,,
instagram really great.,find friends even lowprofile stalking.,problem fact cannot add text media want post except story.,everything fine recommend,,,,,,,,,,,
I do not much problems here except I comment text app is not updated kicks app even I try install login again.,I think deleted account happened since I cannot find anymore.,It booted months ago luckily did not get deleted got recovered I hope bug glitch gets fixed I do not want make new account everytime comment lol.,,,,,,,,,,,,
I small frustrating complaint online status Instagram always sucks.,It used show person online even heshe is not Only five ten minutes last seen shows nowhere Please fix can,,,,,,,,,,,,,
It is good app posting art n talking friends complaint moderation.,It would great would add offline mode makes look like offline are not I think would nice.,,,,,,,,,,,,,
For reason reels icon gone I cannot scroll reels anymore.,Tried clear cache app log log back in uninstall reinstall app make sure app latest version reels icon appearing bottom click in reels showing up problem still cannot scroll down.,And I restarted phon reels icon disappeared again This happened android iPhone.,Please advise.,,,,,,,,,,,
It is good app share anything.I think feature enable send videos photos posted story .What mean someone sends video photo uou able share story well post.,,,,,,,,,,,,,,
It working nice .,But since last update issues playing reels.,Choosing reel song watch reels songs.,After reels.,It is playing worsen before.,Please update quick.,Specially associated reels song,,,,,,,,
I facing issues...,The story highlighted profile songs paying watching story.. also checked songs removed.,Yet playing songs.,Now meaning put story highlighted....,,,,,,,,,,,
One things I appreciate Instagram focus visual content.,The platform designed showcase images videos visually engaging way making easy scroll discover new content.,The Explore page particularly useful finding new accounts follow suggests content based interests past activity.,,,,,,,,,,,,
Instagram good sometimes quality saved stories bad.. importantly Instagram need add feature back stories whenever write caption story adjusting it accidentally delete text.. cannot even redoundo it.. annoying write something long enough stories got deleted there is way retrieving back.,,,,,,,,,,,,,,
What is deal Instagram I NEVER problems watching video clips I trying watching want play.,I hit loading icon clip IT DOES NOT WANT TO PLAY PLEASE FIX THE PROBLEM enraged face,,,,,,,,,,,,,
I have instagram sense great social media app I rate stars I posted alot tiktok videos past even newest version app I sometimes get notices tiktok videos I have posted getting removed blocked I posted ago sound I used sounds blocked public tiktok app I understand confusing less current events.,,,,,,,,,,,,,,
Well usually I give everything stars I start using I right we will give week two see goes.,I am always tinkering new apps I will give five stars even beyond useful.,Yes useful I help mother nature world people animals it..... We take action immediately.,Somehow someway good.,Good morning everyone read this It is Monday tualatin Oregon.,,,,,,,,,,
Th rey everything.,The app progress smart idea.,The thing gets really annoyed force scroll many sponsored videos home part app.,It is completely ok implicate there is limit acceptable amount according many others matter passed limit way long ago.,Very unnecessary exaggerate much front.,Otherwise good job thumbs mediumlight skin tone,,,,,,,,,
I Am new user months old.,P great things considered.,Got lots control page.,minor grievances.,st Would like show things I have marked not interested interactions.,Since I DONOT WANT TO SEE THEM EVER AGAIN.,And nd would like section I add suggested key words accounts s I want feed.,It sucks one time wait till something pops THEN I eliminate it.,,,,,,,
Its months since I have downloaded insta messaging updated.,It shows I latest version I allow change chat background allow reply specific messages.,,,,,,,,,,,,,
UPDATE Issue resolved As platform good.,But app goes periods struggling load content except ads conveniently.,I have tried updating uninstallingredownloading refreshing app I good connection via wifi data dice.,No one I talk problem though.,,,,,,,,,,,
Everything amazing I have thinking search message feature.,When search gives results certain segment.,I would like go see conversation afterwards search result.,Please think itand add update accordingly.,,,,,,,,,,,
Hard upload multiple photos full resolution default settings save copy every photo uploaded phone lower image quality original.,I really need lower quality photos saved phone.,I have since figured turn feature off I also think default setting.,,,,,,,,,,,,
Story available seconds.,I using Instagram around year waiting story time expand.,Others thing I like earlier I experiencing service easily send liked saved reels I updated insta program disappeared.,Also music feature work edit save reel.,,,,,,,,,,,
It amazing app really benefits lot things however algorithms kind complicated predictable .,For example may certain number followers unknown reason posts reach half .,,,,,,,,,,,,,
Updated review There still stablity issues android devices.,I tried note pixel pro issue.,Issue scrolling page jumps randomly scrolling smooth.,Update fixed Messages working.,I cleared cache still work I reinstalled app I am previous version ig cannot update,,,,,,,,,,
It great app... yesterday.,My home feed reels refresh texts gone reason all along stories.,I went uninstall reinstall load login screen.,It could WiFi issue end I doubt rest apps working fine.,I frustrated upset app moment.,,,,,,,,,,
Although overall experience good I have issue authenticating account.,I have account I believe since .,I changed password account.,I asked submit selfie video identification purposes.,I lots photos account submitted selfie video numerous occasions.,Instagram emailed stating information could confirmed.,I think method working properly.,I create another IG account.,,,,,,,
Instagram android good.,You cannot reply comments cannot see theme groupchats like comments choice emoji uses like with harder operate with.,Other good.,I hope Instagram fix problems please update Instagram does.,Edit fixed face savoring food,,,,,,,,,,
This new posts timeline feature sucks posted weeks ago instead monthdayyear.,The app also memories picture posted...but figure month year weeks ago people need calculate.,Sucks,,,,,,,,,,,,
Instagram nice app.,I enjoyed using Instagram seen many avenues showcase business idea improve small active business expanding programs app.,It much useful nowadays especially introduction online business idea systems approaches.,I really enjoyed I find easy live post text edits posts except reels.,I still learning use reels post updates business page review instagram.,,,,,,,,,,
The app great bugs think.,Whenever sort followers list does not change.,Ot always says updated cannot see changes.,Please fix need see followed order.,,,,,,,,,,,
This secondary profile.,Why Because close friend I found unable find shred friendship.,If I click link shows default cutout photo reads user found link show upin DMs leads ghost.,I go looking post might posted in.,We cannot find anything tagged in.,I have tried contacting reporting problem two years later well I am new device new profile afraid add one another.,,,,,,,,,
My experience good except things example personal account I react answer messages chat account let advertise products except that.,I really liked app.,,,,,,,,,,,,,
shared link instagram reels working.,first time anyone presses link brings instagram reels page intended shared reel.,second press link actually work.,please fix bug,,,,,,,,,,,
Everything pretty good except fact cannot access reels irritating friends sent reels like cannot send do not reels tab bottom screen like do...,,,,,,,,,,,,,,
It is colourful we will set easy use Social Platform Just Wary Google Chat lot A.I driven profiles Be vary wary buying Steam Cards Vanilla Game cards Etc.,If asked...Run Hills There physical meetings Hookups... No matter sincere But enjoyable App Also definetly s...catmangrinning cat,,,,,,,,,,,,,
Everything great recent update I am able see people last active even though changed privacy setting.,Kindly look it.,,,,,,,,,,,,,
I updated app everything works fine I watching reels stops halfway video....,This started I updated hours ago... Hope fix issue,,,,,,,,,,,,,
I like approach posting.,Finding functions bit difficult takes time.,Guess learning curve.,However save tunes decent clips move onwards upwards,,,,,,,,,,,
Its good social media platform every body well known times bugs lagging on.,And Now I trying create account everything thing says valadation problem say network problem on.,l iterally tried creating account soI came writing message feedback I saying Instagram bad many bugs something.Thank you,,,,,,,,,,,,
This app good many features But flaw feel privacy options chats online system dull dosent work propely.,Moreover precise options every thing.,Like show online status exact time Beside certain things needed fixed,,,,,,,,,,,,
It is good helps alot medium entertainment quite addictive new update drafts I am saving nowhere found whenever I try post something drafts I get drafts option I stopped saving drafts...,Thank nice everyone heart decoration,,,,,,,,,,,,,
Well experience quite fine big problem I far I cannot reply messages Direct chats.,I have heard problem happen couple others well.,Reinstalling app help.,,,,,,,,,,,,
I suggest set limit amount reels available show online suggestion regarding healthy screentime among teenagers like me.,time limit upload watch reels online certain time day injustice content creators.,I doubt suggestion go platform like one worth shot..,,,,,,,,,,,,
It good app bugs Instagram fix .,Some persons get option reply particular message .,Some times able see dp zooming,,,,,,,,,,,,
Great app is.,Problem post video stories feed audio quality bad messed up.,I post video playing drum sound awful.,Please fix this.,I know probably conpression.,Please let post video quality.,Thank,,,,,,,,
I am recent summer newcomer Instagram app bit overwhelming times.,There is number features quirks understand experiment read online kind annoying.,Wish way hide stuff I use.,But anyway nice way see updates friends cool features.,Not favorite social network I will keep around.,,,,,,,,,,
I love app use every day I have glitches every example something saying posted second ago obvious that is real time posted happening week.,If fix please do thank you,,,,,,,,,,,,,
It good appbut missing features found phonesit gets frustratingfor example theme vanish options completelybut overall good app.And also denies ability reply chats,,,,,,,,,,,,,,
For part good.,BUT recently went older video I tell like older videos NO sound.,There songs nothing policy.,Just little one I talking.,Not sure issue is.,But come fix issue.,,,,,,,,,
Noteplease add delete option mutiple picture option adding music posting photosalso feature downloading story music index pointing upindex pointing upindex pointing upindex pointing could make possible next updation you guys make updation beneficialjust something useful supporters features available one time now please get back,,,,,,,,,,,,,,
My request developers add following features AS SOON AS POSSIBLE .,Search user Name ID. . Filter users level. .,In Profile filter user I following Country Level Live Online. . A favourites users option The app Interesting features.,,,,,,,,,,,,
It is interesting people fun also gives away earn free coins task inside game thing choices top side,,,,,,,,,,,,,,
If looking rapid find chat definitely would top choose,,,,,,,,,,,,,,
For last days I able reload diomonds application getting worse every update,,,,,,,,,,,,,,
Very fantastic recent update version bad.. Where task option plzz fixed THANKS,,,,,,,,,,,,,,
Why application many glitches Daily task button showing plz fix problem customer care support also ask,,,,,,,,,,,,,,
Stop taking away options get free gold cards makes app like every app annoying,,,,,,,,,,,,,,
This app helpful OK hand I earned lot money app I cannot use account I changed cellphone number I lost Sim card cannot open account loudly crying face,,,,,,,,,,,,,,
Please enable camera switch So use back camera calling,,,,,,,,,,,,,,
App really beautiful need many free calls.,Please make free cards available free coins available folded handsfolded handsfolded handsfolded handsfolded handsfolded handsfolded handsfolded handsfolded handsfolded handsfolded handsfolded hands,,,,,,,,,,,,,
Chamet add feature higher level users recharge friends account transfer diamonds share.,End lucky packets.,Add feature user purchase car want.,Only lvl up.,Add feature pay k popular type gift.,When user opens gift CPU determine get long k value.,Add rule guest cannot turn camera first minutes party Add Paypal supported payments Americans,,,,,,,,
Few months ago signed Google account phone also time signing in earned diamonds watching free asvertises time getting ads earn free diamonds that is why logged accounts uninstalled chamet app installing chamet app yesterday signing google account getting advertises please fix issue.,,,,,,,,,,,,,,
Payment method needs easier like Paytm Google pay etc purchase diamond,,,,,,,,,,,,,,
Very Good one But problem I cannot connect customer care number ever ask questions readymade answer coming there question It is better give us customer care number solve problems Otherwise app nice,,,,,,,,,,,,,,
It is sexy good app talk girls.,They real really expensive cannot you give free cards talk girls,,,,,,,,,,,,,
No return Lucky loss almost lakh daimond bad experience download app,,,,,,,,,,,,,,
I do not understand cannot receive call ...it notify spend min alot time chatting...how suppose happen I really do not.pls make clear face raised eyebrow,,,,,,,,,,,,,,
Enjoying coins value costly,,,,,,,,,,,,,,
I made withdrawal since th April till I received money account reverse metwallet please something make available customer service section one communicate The agent resolve problem coming review section table issues,,,,,,,,,,,,,,
Interesting App lately using app quite while I love thought levelling recharge sending that is something new.,Something interesting would gifts animations would mind paying see wow expressions hosts.,Few bugs fixed normal apps.,Overall guys done good job.,OK hand,,,,,,,,,,
Very good app.,Except rate disparity gap vast.,Yes level system helpful find persons rating.,However call rate difference vast hold ground rather fair...I hope issue resolved soon.,Thanks,,,,,,,,,,
I facing problem days whenever open app profile pics users asa well mine getting displayed.,Also region section country flags also getting displayed.,Any type picture getting displayed.,The images og gifts also getting displayed.,Apart another problem.,When try see earnings page loads long time again displays nothing.,I reinstalled problem still persists.,Help,,,,,,,
I using long time log logged two seconds I know what is wrong,,,,,,,,,,,,,,
Nice app easy connect,,,,,,,,,,,,,,
Everything good app exept video call cannot use bluetooth earphone thing annoys please figure solve,,,,,,,,,,,,,,
Kindly add dark mode feature.,,,,,,,,,,,,,,
Nice perfect software like,,,,,,,,,,,,,,
This app updated version working,,,,,,,,,,,,,,
Super app fantastic entertainment app happygrinning face smiling eyesgrinning face smiling eyesgrinning face smiling eyesgrinning face smiling eyesgrinning face smiling eyesgrinning face smiling eyesgrinning face smiling eyes,,,,,,,,,,,,,,
HELP ME PLEASE I WAS BANNED AGAIN FROM THE APP I DID NOT DO ANYTHING WRONG PLEASE FIX THIS PLEASE pleading face,,,,,,,,,,,,,,
Chamet app great far.,I like app.,But would like recommend developers add notification feature turn favourite girls.,So come online notified.,Just suggestion.,Once implemented app perfect me.,Other enjoy using app keep good job,,,,,,,,
It is good need improve get ticket hours improve near account working actually,,,,,,,,,,,,,,
This app good get recharge amount get deducted bank,,,,,,,,,,,,,,
Full time pass app worth downloading.Just awesome I love app ..but give free cards every purchase much better I purchase lots time amount purchase amount offer free card finished ok cannot give free card keep gifts purchaser purchase everytime make us little happy keep purchasing diamonds.,This Thank you,,,,,,,,,,,,,
first app okay problem all.,easy use please enhanced application.,kindly add CHANGE GENDER add DELETE ACCOUNT settings section.,person made fill wrong typo error instead.,PLEASE DO FAST ACTION FOR THIS ISSUE.,HOPE TO IMPROVED YOUR APPLICATION.,HOPING FOR YOUR SOONEST RESPONSE.,,,,,,,,
Just little expensive good app,,,,,,,,,,,,,,
good option hot spicy chat... grinning face smiling eyes,,,,,,,,,,,,,,
Hi Team I sorry say I completely unhappy I update app latest version .. good latest update . . Once anyone send mages I get notification able open messages I see messages individuals. .,Even I messaged anyone I see messages list past messengers I open chamet app again.,You find subject email also I seeing messages chamet,,,,,,,,,,,,
If reduce cost diamonds like past version give diamonds better everyone.,The previous version completely awesome good.,If change app like I mentioned first app unbeatable unstoppable...,,,,,,,,,,,,
Put DELETE OPTION messages chat platform please.,,,,,,,,,,,,,,
I open account chamet send otp .but I set password chamet font show put password please fixed problem card online every time,,,,,,,,,,,,,,
Starting likegrinning face sweat also fun herethumbs,,,,,,,,,,,,,,
Good app better experience.,But expensive you connect call sec also starts you lose you r coins that is good app thinking hosting viewers make app famous always like app enjoying.,And coins also need less min diamnds also fine.,My suggestion guys do not waste money app.,It is quite expensive.,App management need think it.thnks,,,,,,,,,
Worst experience.,Recharge happen money got deducted.,Do not waste money.,No proper support provided too.,Update payments successful .,App good I felt bit costly.,Changed rating .,,,,,,,,
Please dear chamet team random match free..its good app ..,If want match option remains one likes call cutting So many people it take time problem whatever users do also wait random match ... .... give random match option please .... Or else tell,,,,,,,,,,,,,
Hi All A lot Apps playstore like I almost tried one them I must say chamet app user friendly real people negligible fake profile like apps social app nice place time pass even earning.,User friendly interface games content make app worth using.,Go one must try app anyone wants fun along earn.,Thumbs chamet Try add tips gameswinking face tongue,,,,,,,,,,,
This app good.,I hope improve system decrease data usage coz causing phone lag.,And also please restrict screenshot private calls.,,,,,,,,,,,,
please increase min awesome,,,,,,,,,,,,,,
Sim outgoing incoming closed watsapp service available open app sent OTP get do get OTP watsapp number,,,,,,,,,,,,,,
recharge daimond,,,,,,,,,,,,,,
really fun,,,,,,,,,,,,,,
good let see weak gives mony yar great app let us try dought I love really fun enjoyable.its erning happy,,,,,,,,,,,,,,
Sometimes I problem live stream cam still good app,,,,,,,,,,,,,,
cool smiling face sunglassesgrinning face big eyes thank supporting,,,,,,,,,,,,,,
Really good app dating thumbs,,,,,,,,,,,,,,
fun,,,,,,,,,,,,,,
Excellent How use point ...and convert coin,,,,,,,,,,,,,,
I love app..,It is awesome.,But working last days... .,This app responding.,It getting stopped clicking app icon..,I request fix soon possible..,,,,,,,,,
I really love chatting app different chatting apps It unique features.you connect people world app make friends.very nice app app sufficient fulfill emptiness life.,Thumbs developers.,,,,,,,,,,,,,
This app superb premium facility one month month year.,It is Card expensive person cannot afford it.,Please collapse cards system otherwise overall app good.,,,,,,,,,,,,
Application really good communicate someone......handshake But make stable adding dark mode night mode.which easy good use night...,,,,,,,,,,,,,,
Kindly resolve issue.,I made recharge unable use becoz suspended account.,Emailed developer response.,Plz kindly resolve issue.,UPDATION Tried everything nobody responding Nor developer app google.,I made topup recharge coins credited unable use suspended account.,Mailed developer response till date,,,,,,,,
Fine app there is many ads talk people real time.,Only concern pls setting set background dark mode.... Its painful eye using dark.. thanks,,,,,,,,,,,,,
I give stars cuz people meet real app easy use.,A small issue rate diamonds buy everytime recharge ends bit expensive.,Overall good app must say.,,,,,,,,,,,,
App great safe secure one issue click random call takes much time connect.,I think improve.Thank you.......,,,,,,,,,,,,,
Chamet nice helpful app.,You meet enjoy talking different people.,But please fix arripay.,I cannot recieve code.,Also hostess always failed log cannot recieve verification code.,They cannot withdraw salary.,That annoyingenraged face,,,,,,,,
I enjoy app.. like real interaction different people around world.. .. meeting friends..,The problem app recieving call.. always connecting.. smiling face smiling eyessmiling face smiling eyes,,,,,,,,,,,,,
The version .,good able find people follow Live section We need scroll alot find them.,Request bring previous version back add feature back.,,,,,,,,,,,,
I installed app .this good social networking And talking stranger ...I enjoyed trying app I used run app I used get time seconds I getting free calls new update.,,,,,,,,,,,,,,
It is nice app difficult Nigerians withdraw since Epay removed means withdrawal please add Epay back since NGN added back Epay Nigeria hostess work effective withdraw money ease.,Thanks.,,,,,,,,,,,,,
The application nice women naked application nice broadcast section free.,level limit higher broadcast section.,,,,,,,,,,,,,
Excuse Iam able install app.,I enough space device still getting installed.,It finishes download percent shows cannot install.,,,,,,,,,,,,
It is good app time would given last seen user account ...,There last seen shown app that is huge drawback .,,,,,,,,,,,,,
Really nice app I logged stay away long time coming back time camera working properly tried different phones well issue remains same I think developers reconsider,,,,,,,,,,,,,,
There is caller still always connecting caller cancelled calls ..,If caller cancelled call less one minute banned ..how collect earn host caller cancelled call ..the wasting time effort..,So I suggest caller cancelled call banned Thank red heart,,,,,,,,,,,,
Cool application...but dimonds quite expensiveit helpful reduce amount purchasing dimonds.. hard purchase amount always....it take time get used games chamet ...so definitely loose dimonds beginning helpful reduce amount get us offers week.... purchase dimonds small amounts ...and another advantage friendship purple heart,,,,,,,,,,,,,,
Atleast app gives unlimited massaging facility.,So that is love app.,But one thing call expensive would less app best app ever.,,,,,,,,,,,,
That is good app.. Real friends I meet app.. Just single suggestion I have.. Pls verify payment gateway..,Some times debit credit card working.. Pls ensure make clear..,,,,,,,,,,,,,
Good app cost much lots fake profile,,,,,,,,,,,,,,
Experience good app costly.,You always lower tha value coins decrease call rates min.,,,,,,,,,,,,,
gave stars rrply emails sent .,legit paying app .,already withdrawn earnings times directly account seconds.,,,,,,,,,,,,
This best app update update Random match taking lot time I think technical issue please check invite friend get card that is fare please solve folded handsfolded hands,,,,,,,,,,,,,,
It is good app....but recently got know new accounts made donot lucky wheel lucky box game.,Please remove games several players like ones play games.,,,,,,,,,,,,,
I want login via Facebook app showing option,,,,,,,,,,,,,,
There option send .MP.avi ie.,video format good application,,,,,,,,,,,,,
nice app really enjoy,,,,,,,,,,,,,,
that is nice experience making new friend,,,,,,,,,,,,,,
Every features good quality good little expensive..,Please reduce charges possible otherwise GOOD APP..,,,,,,,,,,,,,
Hey Chamet developers...I love app said I am able get video call cards even inviting many friends Please look I hope best,,,,,,,,,,,,,,
Great joyful app need add coda payment method paytm method Bcoz times recharge month via google google allowing month days app I cannot use bcoz via google VI payment.,Need add payment methods.,,,,,,,,,,,,,
nice app sometime boring,,,,,,,,,,,,,,
Wonderful app meet hot girls,,,,,,,,,,,,,,
app single friends thank,,,,,,,,,,,,,,
You give search option app,,,,,,,,,,,,,,
nice app I like,,,,,,,,,,,,,,
I points diamonds I check earningsI see,,,,,,,,,,,,,,
oh cool nice,,,,,,,,,,,,,,
nice app,,,,,,,,,,,,,,
Very useful app,,,,,,,,,,,,,,
Very good app,,,,,,,,,,,,,,
It is fun learn languages keeps motivated keep coming back.,It feels well thought out I like idea needing practice gain lives.,There is one fault I find.,The amount ads feel bit overboard.,I understand needing ads free program need way make money.,But getting ad every single time finish section bit much.,Especially speed minute,,,,,,,,
The app amazing me I beginner language learning.,I currently languages German Spanish personal experiences great it.,The problems I app technical issues.,They bad animations get question wrong right pop up.,I started notice happening.,The pictures people streak slides have not showing up speech bubbles are.,,,,,,,,,
Very useful gamecentric approach language.,Easy make routine tournament events timed lessons help reinforce recall speed.,My real complaint trying pick Grammer I go.,It ends trial end error without real explanations.,There is several examples provided unit sometimes seems like missing something.,So I end spending time archived forums hoping someone asked question already.,,,,,,,,,
This app great many flaws.,I like new update make like journey.,I wished less steps section.,I like addition grammer tips section.,I wish beginners included lesson alphabet beginning.,I feel like I clue French sounds work annoying I cannot get speaking lessons right.,More lessons stories would nice.,I like conversational aspect I put sentences context.,,,,,,,
I am paid SuperDuolingo experience.,Overall working me.,I still taking lessons.,I hate gamification I sucker it.,The behavior XP score totals variable eratic.,There bug Android version speaking lessons.,If I press speak button soon process speech I fail drill.,Workaround first fail replay prompt wait seconds finishes.,,,,,,,
I recently found iPhone app allows dragging words.,On Android I tap lot words remove one one add back I made mistake beginning.,Also timer pauses questions ramp challenge resets app put background.,Make sure restore remaining time activity restores.,,,,,,,,,,,
Very good.,Teaches well fun.,Although I issues.,They teach pitch accent I am learning Japanese really important I thought not rude way app learning language.,And sometimes things explained well.,Some may fault.,So overall I would say app perfect studying language learning would still need tools well.,,,,,,,,
Excellent tool developing ear sounds patterns language starts simple gradual evolution complex sentences.,The compact lessons make easy develop language study habit.,Not every language systematic lessons grammar might want supplement language study additional research tools.,I have using study languages years paid subscription.,It cost effective continues challenge me.,,,,,,,,,,
Has language learning features I could imagine wanting good deal either subscription free.,Some platforms way features others though.,This costs star number gameified competitive elements structure habits competition easier way harder depending platform.,I think I realized game thusly rigged start I would mad.,The gameified elements help practice stagnate.,,,,,,,,,,
It is great learning tool languages.,It gets habit practicing chosen language everyday cover listening speaking writing reading.,However specifically learning Japanese progression learning grammar points painfully slow.,They could pick pace more.,,,,,,,,,,,
Really great able learn language free I wish course structured little differently.,For example instead treating different conjugations word different words eg.,hablo hablas habla espaold would great sometimes lesson abstract ie conjugate ar verbs o as a etc apply specific verbs hablar amar etc.,It might get annoying complex tenses future.,We will see,,,,,,,,,,
I have using app months I think good language learning app.,Especially considering FREE.,I must say I NOT like latest update.,With legendary option could go back test knowledge EACH individual lesson.,Now they have grouped lessons sections test complete section includes individual lessons.,Why Please change back.,But overall I would recommend.,,,,,,,,
For part I like app.,It lot good things helps teach memorization learning.,My biggest problem pronounciations conflicting.,Sometimes said one way another way different lesson.,Also certain ways sentences set explained guess correct.,So needs work overall good app.,,,,,,,,,
It fun use keeps interested learning French.,A many email reminders actual direction use features reasons giving stars.,You wing learn do.,I like short games I many I want time I available.,Review update...,I am fond changes made months ago directing path.,I enjoyed picking lessons going back review I wanted refresher read story.,,,,,,,,
