0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
good,second,chapter,every,new,level,requires,new,moves,cost,coins,hard,annoying,get,cube,thingies,tricky,places,get,taking,different,path,obstacles,ago,means,restart,every,restarts,there,is,second,unskip,p,able,rec,room,adi,still,playing,since,park,our,satisfying,works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good,concept,actual,gameplay,god,you,literally,play,level,multiple,times,know,location,cubes,which,secret,needed,game,can,not,use,reflexes,instinct,need,play,multiple,times,also,need,remember,exact,i,mean,exact,time,jump,platform,want,get,cube,sometimes,end,replaying,one,level,times,also,controls,work,sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparently,another,one,pay,to,advance,type,games,much,like,ghost,recon,breakpoint,it,let,play,next,level,unless,obtained,enough,stars,level,story,i,would,appreciate,play,levels,without,keep,grinding,cash,unlock,level,one,but,sometimes,still,need,collect,money,unlock,tricks,needed,advance,next,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,really,wish,iswipe,screen,dood,would,stop,freaking,sliding,iswipe,right,i,wish,make,guys,top,running,halftime,really,aggravating,tell,something,repeated,opposite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,one,bestmobile,parkour,games,ever,except,one,thing,has,anyone,noticed,even,slide,jump,it,will,something,totally,different,instead,i,also,issue,even,if,iswipe,click,it,will,move,like,jump,slide,fix,i,would,give,stars,i,can,not,enjoy,i,can,not,control,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
was,fun,first,got,way,annoyingly,hard,first,chaser,behind,zap,even,feet,behind,you,either,need,stop,make,electricity,go,hand,body,to,make,less,confusing,second,trick,time,perfectly,pixels,left,right,third,one,downtown,levels,extremely,hard,get,one,little,cube,thingies,impossible,please,fix,problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,cool,concept,i,remember,really,liking,i,younger,one,thing,i,remember,poorly,game,controls,there,is,tangible,delays,wipe,character,actually,performs,action,this,makes,precise,controlling,basically,impossible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,can,not,find,reason,good,it,is,good,concept,i,will,give,that,but,controls,unresponsive,took,times,successfully,backflip,way,difficult,i,ended,rage,quitting,level,part,difficulty,bad,controls,fix,controls,i,will,give,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,i,am,going,to,honest,i,high,expectations,game,remember,growing,playing,it,so,i,come,back,game,doo,ky,do,not,get,wrong,concept,story,great,but,gameplay,horrible,so,many,bugs,need,fixed,for,example,whenever,swipe,jump,there,is,chance,character,slide,down,before,making,second,game,may,be,fixed,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,concept,game,great,controls,terrible,a,lot,times,i,am,trying,swipe,jump,registers,swipe,slide,it,is,impossible,play,like,time,restraint,complete,level,there,even,option,change,controls,buttons,thumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still,good,could,be,controls,fine,however,activating,tricks,right,time,seems,nearly,impossible,most,time,player,jumps,instead,trick,tired,replaying,level,get,trick,somehow,work,especially,paying,unlock,stupid,tricks,why,i,buy,tricks,i,need,get,level,absolute,nonsense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dear,developers,i,have,found,issue,hunter,mode,story,the,hunter,climbs,invisible,wall,vector,goes,elevator,hunter,reaches,elevator,go,all,just,stays,there,unable,complete,game,due,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,tutorial,good,enough,tricks,i,can,not,trick,second,level,it,is,bought,matter,many,times,i,try,if,i,need,watch,youtube,videos,something,type,game,game,good,sometimes,objects,background,get,mixed,miss,object,need,make,action,on,overall,bad,user,experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
only,problem,level,hunter,mode,bugged,impossible,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unfinished,this,proof,concept,game,for,example,disabling,sound,game,stills,disables,background,audio,what,even,frustrating,game,breaking,fact,horizontal,swipes,almost,never,register,correctly,usually,resulting,jump,slide,forcing,player,repeat,even,simplest,levels,multiple,times,i,hope,devs,give,game,attention,unplayable,moment,lot,potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
has,one,worst,worst,controls,game,i,ever,played,the,game,graphics,fabulous,mechanics,sloppy,when,i,try,speed,either,jumps,slides,absolutely,explainable,reason,this,big,issue,you,want,people,download,game,i,suggest,fix,annoying,issue,as,soon,as,possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unfortunately,gameplay,becomes,quickly,boring,there,actual,free,play,involved,required,perform,jumps,exact,specific,moment,every,stage,order,pass,this,causes,repetitive,gameplay,quickly,zaps,fun,away,why,bonuses,extra,speed,would,make,game,funner,or,something,would,slow,guy,chasing,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,great,game,challenging,major,flaws,i,like,games,hard,levels,impossible,some,cubes,worst,places,making,close,impossible,get,them,some,way,time,get,back,track,hunter,directly,behind,dead,also,ads,i,get,millions,minute,ads,skip,buttons,every,attempts,this,major,factor,deleting,games,wipes,not,always,recognised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,really,loved,game,young,downloaded,yesterday,i,ocd,need,stars,levels,but,game,keeps,getting,bugs,first,started,iswipe,i,get,tricks,work,then,swiped,instead,slide,d,down,this,made,really,frustrated,please,fix,this,by,way,i,video,proof,happening,need,proof,do,not,believe,something,reply,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,fun,game,love,it,except,controls,if,fun,factor,i,would,rate,one,starless,possible,controls,the,contro,ks,almost,ruin,game,that,is,shame,fun,super,addictive,when,controls,actually,respond,fix,controls,stat,game,easy,oh,make,multiplayer,would,boss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,gameplay,good,called,functional,even,controls,every,time,try,jump,slides,instead,every,time,try,sprint,instead,jumps,story,voice,acting,animations,park,our,marvelous,please,something,bout,controls,may,be,changes,mine,others,minds,play,game,ok,did,not,make,sense,read,understand,thank,i,am,saying,hate,game,i,am,saying,bugs,often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cool,design,game,never,seen,anything,like,it,controls,trying,skill,makes,jump,instead,skill,this,ruins,game,makes,impossible,get,different,levels,without,buying,them,please,fix,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,would,fun,rewarded,reaction,based,gameplay,unfortunately,feels,like,memory,game,you,need,memorize,better,paths,placement,points,else,going,miss,point,restart,entire,level,meh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehh,game,everyone,it,is,neat,musical,right,but,perform,tricks,shown,them,like,normal,demonstration,move,trick,unlocked,would,helpful,instead,get,squares,show,do,trick,here,without,knowing,actually,it,it,is,kind,dumb,way,present,that,tap,trick,either,read,shown,execute,trick,i,advise,that,common,sense,face,raised,eyebrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,game,nice,minutes,game,says,vector,stopped,i,start,app,again,for,days,i,played,i,reached,technological,park,started,playing,story,but,i,open,says,vector,stopped,i,thought,i,restart,game,still,saying,vector,stopped,please,irequstnekkifix,problem,well,i,like,games,i,played,games,vector,shadow,fight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excellent,concept,beautiful,graphics,i,admit,lag,touch,recognition,really,kills,game,me,i,am,sure,phone,actually,game,much,space,takes,i,really,hoping,enjoy,it,did,not,stay,phone,longer,days,sadly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
well,cool,game,game,keeps,crashing,everytime,i,do,not,know,anybody,else,happens,especially,reach,end,level,crashes,audacity,give,glowing,star,if,you,fix,game,surely,give,glowing,star,really,annoying,keeps,crashing,time,so,probably,next,update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
really,want,like,enemy,faster,like,i,try,reach,stars,make,mistake,a,long,way,i,am,done,restart,collecting,moves,cubes,super,annoying,jump,climb,literally,perfect,literally,we,are,supposed,fun,game,sweaty,try,hard,making,money,buying,moves,annoying,hard,fun,gives,headache,play,literally,perfect,go,higher,levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,really,wanted,like,game,opening,scene,amazing,controller,difficult,it,is,like,sometimes,listen,iswipe,everything,slow,annoying,and,sucks,game,lot,potential,you,all,need,work,control,les,laggy,is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controls,unresponsive,which,incredibly,disappointing,i,really,wanted,enjoy,game,the,gameplay,fast,paced,fun,whenever,i,jump,time,makes,character,slide,i,imminently,lose,at,first,i,thought,user,error,may,be,i,something,wrong,but,attempt,attempt,proved,me,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,need,fix,controls,everyone,saying,fix,it,generous,i,am,giving,two,star,would,amazing,game,fact,can,not,control,makes,game,unplayable,i,delete,frustrates,play,please,take,board,suggestions,otherwise,game,receive,much,attention,please,fix,i,want,game,succeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,graphics,storyline,input,gravity,it,is,unfortunate,i,give,two,controls,i,suggest,give,option,buttons,other,that,i,appreciate,hard,work,give,game,unfortunately,i,need,uninstall,game,solely,controls,i,love,game,good,job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkour,games,smooth,fast,easy,control,lot,move,enviornment,variety,this,game,none,things,controls,use,trick,hard,utilize,inconsistent,the,a,i,hunter,good,feature,however,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,gameplay,pretty,good,i,hate,fact,need,stars,get,next,level,completing,level,before,i,also,problem,tricks,work,i,can,not,get,stars,i,am,stuck,first,levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,good,you,get,enough,stars,unlock,next,mission,that,gets,hard,level,also,freezes,low,you,are,whole,device,but,gameplay,good,graphics,good,challenging,freeze,ruins,whole,experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,always,played,game,years,ago,i,downloaded,again,it,absolute,sucks,whenever,iswipe,fast,boost,long,jump,appears,it,jumps,slides,instead,runs,faster,improve,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,fun,controls,really,bad,sometimes,jumps,happen,also,first,levels,complete,levels,know,walkthrough,entire,level,try,many,times,know,whole,path,complete,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loved,game,installing,months,later,jump,work,well,it,keeps,sliding,even,swipe,up,could,not,even,get,past,first,level,if,keeps,sliding,want,to,jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there,bugs,i,found,game,its,impossible,pass,level,hunter,mode,also,lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there,checkpoints,you,play,whole,level,again,controls,bad,running,fast,registers,slide,pits,come,time,never,even,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,problem,i,game,sometimes,register,iswipe,try,get,trick,instead,makes,jump,this,annoying,i,trying,completely,finish,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,controls,trash,like,swipe,jump,slides,vector,better,stars,and,also,level,downtown,whoami,supposed,to,get,the,if,vault,when,it,is,placed,in,the,dumbest,spot,on,earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
your,controls,game,good,go,stunt,i,things,wipe,nothing,happens,even,wherever,swipe,nothing,happens,also,tried,anytime,like,near,middle,far,please,fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nice,idea,horrible,controls,slow,respond,you,try,slide,guy,stumbles,around,try,jump,stumbles,hunter,shit,feet,away,special,abilities,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,game,good,hard,get,new,tricks,like,i,supposed,jump,no,matter,many,time,i,jump,i,get,trick,it,really,bugs,me,if,i,purchased,i,throughout,whole,level,i,jump,try,try,get,it,it,really,annoying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,real,good,game,th,problem,controls,making,game,boring,when,comes,increasing,speed,one,use,control,way,sliding,annoying,i,really,do,not,want,unistall,game,hope,change,controling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,great,time,playing,though,i,have,trouble,some,time,jumping,example,i,am,running,big,jump,instead,i,slow,down,i,idea,going,that,is,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,game,pretty,good,i,first,started,game,started,acting,controls,would,getting,mixed,example,i,tried,run,fast,would,make,hump,slide,making,lose,restart,level,pleas,fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honestly,introduction,amazing,good,concept,bad,controls,my,experience,game,frustrating,the,controls,certain,moves,like,backflip,work,overall,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,enjoying,game,story,damn,reason,difficulty,spiked,why,would,put,level,extremely,annoyingly,hard,reason,that,one,level,completely,ruined,entire,experience,stupidity,stars,seems,like,good,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,going,make,game,relies,controls,much,better,make,controls,work,properly,graphics,good,animations,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,gameplay,seems,great,issue,big,ones,wipe,controls,i,am,sure,controls,work,well,should,either,way,good,game,ruined,bad,controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,first,time,i,played,good,alright,i,beat,game,everything,alright,now,i,downloaded,back,screen,frames,started,acting,up,the,characters,movement,seen,one,frame,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,playing,game,three,years,reason,i,giving,two,stars,i,completed,levels,levels,tricks,weapons,etc,i,deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
